region,permit_number,action,requester,cause,cause_detail,place,street,street_number,block,parcel,from_date,to_date,approved_by,species,number_of_trees,tree_action,notes
ג. מערבי - כרמל,4997,כריתה והעתקה,"א.פ.ד מהנדסים בע""מ",בניה,,טירת כרמל,שכונת איילת הכרמל,,,,2020-02-12 00:00:00.000000,2021-07-31 00:00:00.000000,שלי בן ישי,אורן ירושלים,7,כריתה,
ג. מערבי - כרמל,4997,כריתה והעתקה,"א.פ.ד מהנדסים בע""מ",בניה,,טירת כרמל,שכונת איילת הכרמל,,,,2020-02-12 00:00:00.000000,2021-07-31 00:00:00.000000,שלי בן ישי,אורן קנרי,1,כריתה,
ג. מערבי - כרמל,4997,כריתה והעתקה,"א.פ.ד מהנדסים בע""מ",בניה,,טירת כרמל,שכונת איילת הכרמל,,,,2020-02-12 00:00:00.000000,2021-07-31 00:00:00.000000,שלי בן ישי,אורן קפריסאי,390,כריתה,
ג. מערבי - כרמל,4997,כריתה והעתקה,"א.פ.ד מהנדסים בע""מ",בניה,,טירת כרמל,שכונת איילת הכרמל,,,,2020-02-12 00:00:00.000000,2021-07-31 00:00:00.000000,שלי בן ישי,אקליפטוסים,1,כריתה,הצווארון
ג. מערבי - כרמל,4997,כריתה והעתקה,"א.פ.ד מהנדסים בע""מ",בניה,,טירת כרמל,שכונת איילת הכרמל,,,,2020-02-12 00:00:00.000000,2021-07-31 00:00:00.000000,שלי בן ישי,ברוש מצוי,31,כריתה,
ג. מערבי - כרמל,4997,כריתה והעתקה,"א.פ.ד מהנדסים בע""מ",בניה,,טירת כרמל,שכונת איילת הכרמל,,,,2020-02-12 00:00:00.000000,2021-07-31 00:00:00.000000,שלי בן ישי,זית אירופי,2,העתקה,
ג. מערבי - כרמל,4997,כריתה והעתקה,"א.פ.ד מהנדסים בע""מ",בניה,,טירת כרמל,שכונת איילת הכרמל,,,,2020-02-12 00:00:00.000000,2021-07-31 00:00:00.000000,שלי בן ישי,חרוב מצוי,389,כריתה,
ג. מערבי - כרמל,4997,כריתה והעתקה,"א.פ.ד מהנדסים בע""מ",בניה,,טירת כרמל,שכונת איילת הכרמל,,,,2020-02-12 00:00:00.000000,2021-07-31 00:00:00.000000,שלי בן ישי,תמר מצוי,1,כריתה,
ג. מערבי - כרמל,5032,כריתה,"אייל סער-מנכ""ל מאגרי אשר",בניה,,מצובה,בריכת יהודית,ג/ 20867,,,2020-03-01 00:00:00.000000,2021-05-31 00:00:00.000000,שלי בן ישי,חרוב מצוי,9,,
ג. מערבי - כרמל,5258,כריתה,דודו פרץ-רכבת ישראל,בניה,הפרדה מפלסית 14,דור,דור נחשולים הפרדה מפלסית 14,,"10939,10588,11175,10589,11004,11005",,2020-07-26 00:00:00.000000,2021-08-31 00:00:00.000000,שלי בן ישי,אורן קפריסאי,1,,
ג. מערבי - כרמל,5258,כריתה,דודו פרץ-רכבת ישראל,בניה,הפרדה מפלסית 14,דור,דור נחשולים הפרדה מפלסית 14,,"10939,10588,11175,10589,11004,11005",,2020-07-26 00:00:00.000000,2021-08-31 00:00:00.000000,שלי בן ישי,ברוש מצוי,3,,
ג. מערבי - כרמל,5258,כריתה,דודו פרץ-רכבת ישראל,בניה,הפרדה מפלסית 14,דור,דור נחשולים הפרדה מפלסית 14,,"10939,10588,11175,10589,11004,11005",,2020-07-26 00:00:00.000000,2021-08-31 00:00:00.000000,שלי בן ישי,זית אירופי,6,,
ג. מערבי - כרמל,5258,כריתה,דודו פרץ-רכבת ישראל,בניה,הפרדה מפלסית 14,דור,דור נחשולים הפרדה מפלסית 14,,"10939,10588,11175,10589,11004,11005",,2020-07-26 00:00:00.000000,2021-08-31 00:00:00.000000,שלי בן ישי,פיקוס בינימינה,2,,
ג. מערבי - כרמל,5258,כריתה,דודו פרץ-רכבת ישראל,בניה,הפרדה מפלסית 14,דור,דור נחשולים הפרדה מפלסית 14,,"10939,10588,11175,10589,11004,11005",,2020-07-26 00:00:00.000000,2021-08-31 00:00:00.000000,שלי בן ישי,תמר מצוי,1,,
ג. מערבי - כרמל,5258,כריתה,דודו פרץ-רכבת ישראל,בניה,הפרדה מפלסית 14,דור,דור נחשולים הפרדה מפלסית 14,,"10939,10588,11175,10589,11004,11005",,2020-07-26 00:00:00.000000,2021-08-31 00:00:00.000000,שלי בן ישי,תמר קנרי,7,,
ג. מערבי - כרמל,5274,דילול וגיזום,"ניקולא עמאד ושו""ת",דילול רגיל,טיפול יערני וקוי חייץ,"יערות קק""ל",,,,,2020-07-26 00:00:00.000000,2021-03-31 00:00:00.000000,שלי בן ישי,,,,
ג. מערבי - כרמל,5274,דילול וגיזום,"ניקולא עמאד ושו""ת",דילול רגיל,טיפול יערני וקוי חייץ,"יערות קק""ל",,,,,2020-07-26 00:00:00.000000,2021-03-31 00:00:00.000000,שלי בן ישי,,,,
ג. מערבי - כרמל,5285,כריתה והעתקה,נסים עילבוני,בניה,הרחבת כביש 70 והפיכתו לכביש 6,כבישים,כביש 6 קטע 2 בין אליקים ליוקנעם,,,,2020-08-09 00:00:00.000000,2021-05-31 00:00:00.000000,שלי בן ישי,אורן ירושלים,30,כריתה,
ג. מערבי - כרמל,5285,כריתה והעתקה,נסים עילבוני,בניה,הרחבת כביש 70 והפיכתו לכביש 6,כבישים,כביש 6 קטע 2 בין אליקים ליוקנעם,,,,2020-08-09 00:00:00.000000,2021-05-31 00:00:00.000000,שלי בן ישי,אלה ארץ-ישראלית,1,כריתה,
ג. מערבי - כרמל,5285,כריתה והעתקה,נסים עילבוני,בניה,הרחבת כביש 70 והפיכתו לכביש 6,כבישים,כביש 6 קטע 2 בין אליקים ליוקנעם,,,,2020-08-09 00:00:00.000000,2021-05-31 00:00:00.000000,שלי בן ישי,אלון מצוי,10,העתקה,
ג. מערבי - כרמל,5285,כריתה והעתקה,נסים עילבוני,בניה,הרחבת כביש 70 והפיכתו לכביש 6,כבישים,כביש 6 קטע 2 בין אליקים ליוקנעם,,,,2020-08-09 00:00:00.000000,2021-05-31 00:00:00.000000,שלי בן ישי,ברוש מצוי,5,כריתה,
ג. מערבי - כרמל,5285,כריתה והעתקה,נסים עילבוני,בניה,הרחבת כביש 70 והפיכתו לכביש 6,כבישים,כביש 6 קטע 2 בין אליקים ליוקנעם,,,,2020-08-09 00:00:00.000000,2021-05-31 00:00:00.000000,שלי בן ישי,חרוב מצוי,2,כריתה,
ג. מערבי - כרמל,5304,כריתה והעתקה,"נתיבי ישראל ע""י מיכה איטח",בניה,,כבישים,כביש 4 בין טירת הכרמל לחותרים,,"10568,10569,10717","10724,10725,10722,10723",2020-08-20 00:00:00.000000,2021-08-31 00:00:00.000000,שלי בן ישי,אזדרכת מצויה,23,כריתה,
ג. מערבי - כרמל,5304,כריתה והעתקה,"נתיבי ישראל ע""י מיכה איטח",בניה,,כבישים,כביש 4 בין טירת הכרמל לחותרים,,"10568,10569,10717","10724,10725,10722,10723",2020-08-20 00:00:00.000000,2021-08-31 00:00:00.000000,שלי בן ישי,אקל.טורלי,5,כריתה,קורימביית טורל
ג. מערבי - כרמל,5304,כריתה והעתקה,"נתיבי ישראל ע""י מיכה איטח",בניה,,כבישים,כביש 4 בין טירת הכרמל לחותרים,,"10568,10569,10717","10724,10725,10722,10723",2020-08-20 00:00:00.000000,2021-08-31 00:00:00.000000,שלי בן ישי,אשחר רחב-עלים,2,כריתה,
ג. מערבי - כרמל,5304,כריתה והעתקה,"נתיבי ישראל ע""י מיכה איטח",בניה,,כבישים,כביש 4 בין טירת הכרמל לחותרים,,"10568,10569,10717","10724,10725,10722,10723",2020-08-20 00:00:00.000000,2021-08-31 00:00:00.000000,שלי בן ישי,ברוש מצוי,463,כריתה,
ג. מערבי - כרמל,5304,כריתה והעתקה,"נתיבי ישראל ע""י מיכה איטח",בניה,,כבישים,כביש 4 בין טירת הכרמל לחותרים,,"10568,10569,10717","10724,10725,10722,10723",2020-08-20 00:00:00.000000,2021-08-31 00:00:00.000000,שלי בן ישי,זית אירופי,11,העתקה,
ג. מערבי - כרמל,5304,כריתה והעתקה,"נתיבי ישראל ע""י מיכה איטח",בניה,,כבישים,כביש 4 בין טירת הכרמל לחותרים,,"10568,10569,10717","10724,10725,10722,10723",2020-08-20 00:00:00.000000,2021-08-31 00:00:00.000000,שלי בן ישי,חרוב מצוי,2,כריתה,לא ראויים להעתקה
ג. מערבי - כרמל,5304,כריתה והעתקה,"נתיבי ישראל ע""י מיכה איטח",בניה,,כבישים,כביש 4 בין טירת הכרמל לחותרים,,"10568,10569,10717","10724,10725,10722,10723",2020-08-20 00:00:00.000000,2021-08-31 00:00:00.000000,שלי בן ישי,יצהרון מכסיף,1,כריתה,מין פולש
ג. מערבי - כרמל,5304,כריתה והעתקה,"נתיבי ישראל ע""י מיכה איטח",בניה,,כבישים,כביש 4 בין טירת הכרמל לחותרים,,"10568,10569,10717","10724,10725,10722,10723",2020-08-20 00:00:00.000000,2021-08-31 00:00:00.000000,שלי בן ישי,סיסם הודי,2,כריתה,לא ראויים להעתקה
ג. מערבי - כרמל,5304,כריתה והעתקה,"נתיבי ישראל ע""י מיכה איטח",בניה,,כבישים,כביש 4 בין טירת הכרמל לחותרים,,"10568,10569,10717","10724,10725,10722,10723",2020-08-20 00:00:00.000000,2021-08-31 00:00:00.000000,שלי בן ישי,עץ לא מזוה מת -לכריתה,2,כריתה,
ג. מערבי - כרמל,5304,כריתה והעתקה,"נתיבי ישראל ע""י מיכה איטח",בניה,,כבישים,כביש 4 בין טירת הכרמל לחותרים,,"10568,10569,10717","10724,10725,10722,10723",2020-08-20 00:00:00.000000,2021-08-31 00:00:00.000000,שלי בן ישי,פיקוס בנגלי,2,כריתה,לא ראויים להעתקה
ג. מערבי - כרמל,5304,כריתה והעתקה,"נתיבי ישראל ע""י מיכה איטח",בניה,,כבישים,כביש 4 בין טירת הכרמל לחותרים,,"10568,10569,10717","10724,10725,10722,10723",2020-08-20 00:00:00.000000,2021-08-31 00:00:00.000000,שלי בן ישי,שיטה כחלחלה,12,כריתה,מין פולש
ג. מערבי - כרמל,5304,כריתה והעתקה,"נתיבי ישראל ע""י מיכה איטח",בניה,,כבישים,כביש 4 בין טירת הכרמל לחותרים,,"10568,10569,10717","10724,10725,10722,10723",2020-08-20 00:00:00.000000,2021-08-31 00:00:00.000000,שלי בן ישי,תמר קנרי,2,כריתה,
ג. מערבי - כרמל,5334,כריתה והעתקה,"אלמוג ב.ז. בניה והשקעות בע""מ",בניה,,נשר,אשכולות/ברוש,,11236 11237,"12,125,117,76,74,73,62,61,56,55,45,46,44,43,11-34,",2020-09-06 00:00:00.000000,2021-06-30 00:00:00.000000,שלי בן ישי,אזדרכת מצויה,1,כריתה,
ג. מערבי - כרמל,5334,כריתה והעתקה,"אלמוג ב.ז. בניה והשקעות בע""מ",בניה,,נשר,אשכולות/ברוש,,11236 11237,"12,125,117,76,74,73,62,61,56,55,45,46,44,43,11-34,",2020-09-06 00:00:00.000000,2021-06-30 00:00:00.000000,שלי בן ישי,אקל.המקור,10,כריתה,
ג. מערבי - כרמל,5334,כריתה והעתקה,"אלמוג ב.ז. בניה והשקעות בע""מ",בניה,,נשר,אשכולות/ברוש,,11236 11237,"12,125,117,76,74,73,62,61,56,55,45,46,44,43,11-34,",2020-09-06 00:00:00.000000,2021-06-30 00:00:00.000000,שלי בן ישי,ושינגטוניה חסונה,2,העתקה,
ג. מערבי - כרמל,5334,כריתה והעתקה,"אלמוג ב.ז. בניה והשקעות בע""מ",בניה,,נשר,אשכולות/ברוש,,11236 11237,"12,125,117,76,74,73,62,61,56,55,45,46,44,43,11-34,",2020-09-06 00:00:00.000000,2021-06-30 00:00:00.000000,שלי בן ישי,זית אירופי,3,העתקה,
ג. מערבי - כרמל,5334,כריתה והעתקה,"אלמוג ב.ז. בניה והשקעות בע""מ",בניה,,נשר,אשכולות/ברוש,,11236 11237,"12,125,117,76,74,73,62,61,56,55,45,46,44,43,11-34,",2020-09-06 00:00:00.000000,2021-06-30 00:00:00.000000,שלי בן ישי,חרוב מצוי,2,העתקה,
ג. מערבי - כרמל,5334,כריתה והעתקה,"אלמוג ב.ז. בניה והשקעות בע""מ",בניה,,נשר,אשכולות/ברוש,,11236 11237,"12,125,117,76,74,73,62,61,56,55,45,46,44,43,11-34,",2020-09-06 00:00:00.000000,2021-06-30 00:00:00.000000,שלי בן ישי,שיטה כחלחלה,4,כריתה,
ג. מערבי - כרמל,5387,כריתה,שלו גדעון,בניה,הרחבה י',יעד,הרחבה י',,21164,"67-69,65,64,48-56,33-36,28-31",2020-10-13 00:00:00.000000,2021-06-30 00:00:00.000000,שלי בן ישי,ברוש מצוי,109,,
